150 Kabupaten/Kota Inflasi (2022=100),,,,,,,,,,,,,,,,,,,,,,,,,,
,Inflasi Bulanan (M-to-M) (2022=100) Menurut Kelompok dan Sub Kelompok 10 Penyediaan Makanan dan Minuman / Restoran,,,,,,,,,,,,,,,,,,,,,,,,,
,Penyediaan Makanan dan Minuman / Restoran,,,,,,,,,,,,,Jasa Pelayanan Makanan dan Minuman,,,,,,,,,,,,
,2025,,,,,,,,,,,,,2025,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
KOTA BANJARMASIN,0.21,1.58,0,0,0,0.02,0,0,0,0,0,0.14,-,0.21,1.58,0,0,0,0.02,0,0,0,0,0,0.14,-
KAB BERAU,0,0,0,0.53,0.19,0.03,0,2.03,0,0,0.43,0,-,0,0,0,0.53,0.19,0.03,0,2.03,0,0,0.43,0,-
KAB PENAJAM PASER UTARA,0,0.06,0.13,1.4,0.09,0.11,0.12,0.02,0,1.13,0,0,-,0,0.06,0.13,1.4,0.09,0.11,0.12,0.02,0,1.13,0,0,-
KOTA BALIKPAPAN,0.27,0,0.01,0.37,0,0.26,0.18,0.04,0,0,0,0.02,-,0.27,0,0.01,0.37,0,0.26,0.18,0.04,0,0,0,0.02,-
KOTA SAMARINDA,0.44,0.07,0.09,0.44,0.13,0.24,0.14,0.03,0.01,0,0.03,0.08,-,0.44,0.07,0.09,0.44,0.13,0.24,0.14,0.03,0.01,0,0.03,0.08,-
TANJUNG SELOR,0.23,0.03,0.33,0,0,0.05,0.04,0,0,0.07,0,0.88,-,0.23,0.03,0.33,0,0,0.05,0.04,0,0,0.07,0,0.88,-
KAB NUNUKAN,0,0.03,0,0.38,1.32,0.05,0,0,0,0,0,0.25,-,0,0.03,0,0.38,1.32,0.05,0,0,0,0,0,0.25,-
KOTA TARAKAN,0,0.05,0.11,0.89,0.42,0,0.13,0,0.28,0,0.02,0,-,0,0.05,0.11,0.89,0.42,0,0.13,0,0.28,0,0.02,0,-
KAB MINAHASA SELATAN,0,0,0,0.36,0,0,0.8,0.26,0.23,0.06,0,0,-,0,0,0,0.36,0,0,0.8,0.26,0.23,0.06,0,0,-
KAB MINAHASA UTARA,1.15,0.29,0,0,0,0.04,0.12,0.04,0,0,0,0,-,1.15,0.29,0,0,0,0.04,0.12,0.04,0,0,0,0,-
KOTA MANADO,0.76,0.04,0.19,0.41,0,0,0,0,0,0,0,0,-,0.76,0.04,0.19,0.41,0,0,0,0,0,0,0,0,-
KOTA KOTAMOBAGU,0.02,0.03,0,0,0.06,0.1,0,0,0.13,0.03,0,0,-,0.02,0.03,0,0,0.06,0.1,0,0,0.13,0.03,0,0,-
LUWUK,0.08,0.23,0.3,1.1,0,0.1,0.15,0.89,0.41,0.66,0.41,0.32,-,0.08,0.23,0.3,1.1,0,0.1,0.15,0.89,0.41,0.66,0.41,0.32,-
KAB MOROWALI,0,0,0,0,0,0,0,0,0,0,0.03,0,-,0,0,0,0,0,0,0,0,0,0,0.03,0,-
KAB TOLI TOLI,0.32,0.03,0,0.72,0,0,0,1.01,0,0.04,0.76,0.43,-,0.32,0.03,0,0.72,0,0,0,1.01,0,0.04,0.76,0.43,-
