150 Kabupaten/Kota Inflasi (2022=100),,,,,,,,,,,,,,,,,,,,,,,,,,
,Inflasi Tahunan (Y-on-Y) (2022=100) Menurut Kelompok dan Sub Kelompok 10 Penyediaan Makanan dan Minuman / Restoran (Persen),,,,,,,,,,,,,,,,,,,,,,,,,
,Penyediaan Makanan dan Minuman / Restoran,,,,,,,,,,,,,Jasa Pelayanan Makanan dan Minuman,,,,,,,,,,,,
,2025,,,,,,,,,,,,,2025,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
KOTA KEDIRI,2.44,2.44,2.41,1.37,1.28,1.22,1.2,1.15,0.74,0.73,0.73,1.07,-,2.44,2.44,2.41,1.37,1.28,1.22,1.2,1.15,0.74,0.73,0.73,1.07,-
KOTA MALANG,1.25,1.34,1.23,1.38,1.34,1.62,1.61,1.49,1.38,1.05,1.06,0.88,-,1.25,1.34,1.23,1.38,1.34,1.62,1.61,1.49,1.38,1.05,1.06,0.88,-
KOTA PROBOLINGGO,2.87,2.68,2.32,1.75,2.02,1.77,1.83,1.78,1.38,1.14,0.96,1.05,-,2.87,2.68,2.32,1.75,2.02,1.77,1.83,1.78,1.38,1.14,0.96,1.05,-
KOTA MADIUN,2.16,2.25,2.37,2.04,1.78,1.67,1.51,1.49,1.48,1.38,1.15,1.46,-,2.16,2.25,2.37,2.04,1.78,1.67,1.51,1.49,1.48,1.38,1.15,1.46,-
KOTA SURABAYA,2.78,2.68,2.74,2.63,2.24,2.29,2.33,2.33,2.27,1.7,1.68,1.15,-,2.78,2.68,2.74,2.63,2.24,2.29,2.33,2.33,2.27,1.7,1.68,1.15,-
KAB PANDEGLANG,3.53,3.07,3.36,2.85,2.8,2.69,1.96,1.81,1.79,1.78,1.83,1.54,-,3.53,3.07,3.36,2.85,2.8,2.69,1.96,1.81,1.79,1.78,1.83,1.54,-
KAB LEBAK,1.06,1.25,1.25,1.38,1.81,1.81,1.43,1.43,1.74,1.79,1.54,1.69,-,1.06,1.25,1.25,1.38,1.81,1.81,1.43,1.43,1.74,1.79,1.54,1.69,-
KOTA TANGERANG,5.35,5.58,1.85,1.85,1.85,1.85,1.85,1.9,2.07,1.62,1.66,1.6,-,5.35,5.58,1.85,1.85,1.85,1.85,1.85,1.9,2.07,1.62,1.66,1.6,-
KOTA CILEGON,4.78,3.91,3.83,1.89,1.11,1.54,1.56,1.72,1.81,1.92,1.82,1.85,-,4.78,3.91,3.83,1.89,1.11,1.54,1.56,1.72,1.81,1.92,1.82,1.85,-
KOTA SERANG,2.72,2.48,2.5,2.43,2.32,2.86,2.67,2.65,2.66,1.28,1.28,1.14,-,2.72,2.48,2.5,2.43,2.32,2.86,2.67,2.65,2.66,1.28,1.28,1.14,-
KAB TABANAN,1.57,1.75,1.72,1.61,1.61,1.62,1.62,1.83,1.5,1.5,2.59,2.44,-,1.57,1.75,1.72,1.61,1.61,1.62,1.62,1.83,1.5,1.5,2.59,2.44,-
KAB BADUNG,0.31,0.4,0.4,0.4,0.24,0.31,0.31,0.41,0.35,0.35,0.35,0.35,-,0.31,0.4,0.4,0.4,0.24,0.31,0.31,0.41,0.35,0.35,0.35,0.35,-
SINGARAJA,1.58,1.58,1.57,1.36,0.33,0.33,0.33,0.33,0.38,0.27,0.27,0.27,-,1.58,1.58,1.57,1.36,0.33,0.33,0.33,0.33,0.38,0.27,0.27,0.27,-
KOTA DENPASAR,9.08,9.63,7.58,5.09,4.13,4.15,3.21,3.41,2.94,2.79,3.08,3.08,-,9.08,9.63,7.58,5.09,4.13,4.15,3.21,3.41,2.94,2.79,3.08,3.08,-
KAB SUMBAWA,1.48,1.48,1.29,1.29,0.98,0.94,0.94,0.94,1.04,1.04,1.26,1.26,-,1.48,1.48,1.29,1.29,0.98,0.94,0.94,0.94,1.04,1.04,1.26,1.26,-
KOTA MATARAM,2.62,2.74,2.22,2.21,1.84,2.32,2.42,2.33,2.25,2.09,2.13,2.04,-,2.62,2.74,2.22,2.21,1.84,2.32,2.42,2.33,2.25,2.09,2.13,2.04,-
KOTA BIMA,1.53,1.45,1.45,1.35,0.85,0.68,0.74,0.66,0.67,0.8,0.84,1.17,-,1.53,1.45,1.45,1.35,0.85,0.68,0.74,0.66,0.67,0.8,0.84,1.17,-
WAINGAPU,0.92,1.11,1.11,1.11,1.11,1.11,1.11,1.11,1.61,1.25,1.25,1.25,-,0.92,1.11,1.11,1.11,1.11,1.11,1.11,1.11,1.61,1.25,1.25,1.25,-
KAB TIMOR TENGAH SELATAN,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,-
MAUMERE,2.15,2.23,0.48,0.5,0.5,0.56,0.55,0.86,0.86,0.66,0.82,0.67,-,2.15,2.23,0.48,0.5,0.5,0.56,0.55,0.86,0.86,0.66,0.82,0.67,-
KAB NGADA,3.6,3.07,2.25,2.25,2.25,1.83,1.83,3.07,3.07,2.65,1.98,1.98,-,3.6,3.07,2.25,2.25,2.25,1.83,1.83,3.07,3.07,2.65,1.98,1.98,-
KOTA KUPANG,3.38,2.82,2.82,2.93,2.85,2.79,2.7,2.75,2.75,3.31,3.32,3.41,-,3.38,2.82,2.82,2.93,2.85,2.79,2.7,2.75,2.75,3.31,3.32,3.41,-
KAB KETAPANG,1.94,1.94,1.55,1.3,0.98,1.02,1.02,0.81,0.77,0.77,0.75,0.75,-,1.94,1.94,1.55,1.3,0.98,1.02,1.02,0.81,0.77,0.77,0.75,0.75,-
SINTANG,3.16,3.32,3.32,3.23,2.73,2.03,1.9,0.36,0.36,0.15,0.15,0.15,-,3.16,3.32,3.32,3.23,2.73,2.03,1.9,0.36,0.36,0.15,0.15,0.15,-
KAB KAYONG UTARA,1.58,1.58,1.54,1.35,0.91,0.79,0.79,0.16,0.11,0.11,0,0.25,-,1.58,1.58,1.54,1.35,0.91,0.79,0.79,0.16,0.11,0.11,0,0.25,-
KOTA PONTIANAK,0.89,0.89,0.74,1.12,1.12,1.66,1.81,1.81,1.81,1.73,1.35,1.52,-,0.89,0.89,0.74,1.12,1.12,1.66,1.81,1.81,1.81,1.73,1.35,1.52,-
KOTA SINGKAWANG,0.15,0.15,0.09,0.05,0.05,0.05,0.03,0.09,0.09,0.09,0.09,0.09,-,0.15,0.15,0.09,0.05,0.05,0.05,0.03,0.09,0.09,0.09,0.09,0.09,-
SAMPIT,4.28,3.02,3.32,3.92,3.94,4.96,5.43,5.6,5.04,5.07,5.15,5.52,-,4.28,3.02,3.32,3.92,3.94,4.96,5.43,5.6,5.04,5.07,5.15,5.52,-
KAB KAPUAS,2.29,2.4,1.99,2.23,2.31,2.38,3.47,3.07,2.5,2.52,2.52,2.47,-,2.29,2.4,1.99,2.23,2.31,2.38,3.47,3.07,2.5,2.52,2.52,2.47,-
KAB SUKAMARA,0.85,1.16,1.69,1.69,1.26,1.33,1.33,1.49,1.49,1.49,1.49,1.61,-,0.85,1.16,1.69,1.69,1.26,1.33,1.33,1.49,1.49,1.49,1.49,1.61,-
KOTA PALANGKARAYA,0.98,1.05,1.28,1.37,1.29,1.63,1.79,1.73,2.33,2.46,2.48,2.82,-,0.98,1.05,1.28,1.37,1.29,1.63,1.79,1.73,2.33,2.46,2.48,2.82,-
KAB TANAH LAUT,1.92,2.77,4.09,4.93,5.43,5.94,5.62,4.91,4.24,4.43,4.62,4.68,-,1.92,2.77,4.09,4.93,5.43,5.94,5.62,4.91,4.24,4.43,4.62,4.68,-
KOTABARU,0.71,0.87,0.87,0.87,0.76,0.76,0.76,1.92,1.54,1.9,1.9,2.21,-,0.71,0.87,0.87,0.87,0.76,0.76,0.76,1.92,1.54,1.9,1.9,2.21,-
KAB HULU SUNGAI TENGAH,2.8,2.66,2.48,0.88,1.14,1.14,0.96,0.96,0.96,0.85,0.42,0.42,-,2.8,2.66,2.48,0.88,1.14,1.14,0.96,0.96,0.96,0.85,0.42,0.42,-
TANJUNG,0.38,1.23,1.24,1.31,1.24,1.24,1.37,1.37,1.37,1.37,1.7,1.78,-,0.38,1.23,1.24,1.31,1.24,1.24,1.37,1.37,1.37,1.37,1.7,1.78,-
KOTA BANJARMASIN,1.2,2.8,2.47,2.02,1.97,1.99,1.91,1.9,1.9,1.85,1.84,1.96,-,1.2,2.8,2.47,2.02,1.97,1.99,1.91,1.9,1.9,1.85,1.84,1.96,-
KAB BERAU,2.25,2.25,2.09,2.6,1.76,1.78,1.78,3.85,3.85,3.63,3.33,3.24,-,2.25,2.25,2.09,2.6,1.76,1.78,1.78,3.85,3.85,3.63,3.33,3.24,-
KAB PENAJAM PASER UTARA,2.08,1.67,1.76,3.07,2.57,2.4,2.2,2.22,2.22,3.22,3.09,3.09,-,2.08,1.67,1.76,3.07,2.57,2.4,2.2,2.22,2.22,3.22,3.09,3.09,-
KOTA BALIKPAPAN,0.34,0.34,0.35,0.72,0.72,0.98,1.09,1.13,1.13,1.13,1.13,1.15,-,0.34,0.34,0.35,0.72,0.72,0.98,1.09,1.13,1.13,1.13,1.13,1.15,-
KOTA SAMARINDA,3.5,3.57,3.6,3.33,2.85,3.1,3.1,2.89,2.44,1.61,1.64,1.71,-,3.5,3.57,3.6,3.33,2.85,3.1,3.1,2.89,2.44,1.61,1.64,1.71,-
TANJUNG SELOR,0.88,0.71,1,1,0.98,0.94,0.91,0.89,0.89,0.85,0.85,1.63,-,0.88,0.71,1,1,0.98,0.94,0.91,0.89,0.89,0.85,0.85,1.63,-
KAB NUNUKAN,8.07,8.11,8.11,8.52,8.04,7.98,5.68,3.85,2.72,1.8,1.8,2.05,-,8.07,8.11,8.11,8.52,8.04,7.98,5.68,3.85,2.72,1.8,1.8,2.05,-
